user_id,Q1,Total Traffic(MB),Downlink Throughput(Kbps),Uplink Throughput(Kbps),Downlink TCP Retransmission Rate(%),Video Streaming Download Throughput(Kbps),Video Streaming xKB Start Delay(ms),Web Page Download Throughput(Kbps),Web Average TCP RTT(ms),Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Downlink Throughput(Kbps)_log,Uplink Throughput(Kbps)_log,Downlink TCP Retransmission Rate(%)_log,Video Streaming Download Throughput(Kbps)_log,Video Streaming xKB Start Delay(ms)_log,Web Page Download Throughput(Kbps)_log,Web Average TCP RTT(ms)_log
1,5,775.48846,360.1300000001,86.5600000001,3.9300000001,1859.1500000001001,2309.0000000001,1007.8200000001001,83.0000000001,0,0,0,0,0,0,0,5.886465077376619,4.460837815099326,1.3686394259066152,7.527874673008579,7.744569809354538,6.915544861257066,4.418840607797803
2,5,861.96324,3023.5400000001,411.1800000001,1.2700000001,667.4700000001001,2080.0000000001,255.3600000001,425.0000000001,0,0,0,1,0,0,0,8.014183609326468,6.019031074826031,0.23901690054924007,6.503494445444326,7.640123172695412,5.542674314261836,6.052089168924652
3,1,261.1186,790.9600000001001,34.200000000100005,1.7900000001,1079.6000000001,6367.0000000001,535.8500000001001,485.0000000001,0,0,0,1,0,0,0,6.673247397589004,3.5322256440714837,0.5822156199085295,6.984345881143942,8.75888368001704,6.283854271159193,6.184148890937689
4,8,179.18564,2590.9700000001,325.8800000001,0.8000000001,7053.8100000001,3218.0000000001,1221.0200000001,51.0000000001,0,0,1,0,0,0,0,7.859787601954013,5.786529215442748,-0.2231435511892097,8.861323175360956,8.07651532755236,7.1074418539930155,3.9318256327262864
5,2,351.99208,731.6100000001001,223.54000000009998,1.1500000001,4550.3800000001,1767.0000000001,2336.5600000001,68.0000000001,0,1,1,1,0,0,0,6.595247585094837,5.409590368957913,0.13976194246211515,8.422966024941227,7.477038472319753,7.756435041245865,4.219507705177577
6,3,416.67461,1346.8900000001001,175.5300000001,1.0800000001,4553.0100000001,2136.0000000001,1587.5800000001,551.0000000001,0,0,0,0,0,0,0,7.205553510121123,5.167809968468824,0.076961041228721,8.423543831686445,7.666690200080132,7.369966123197977,6.311734809153096
7,2,448.88413,438.27000000009997,81.3200000001,1.9800000001,1699.6400000001001,4223.0000000001,856.0500000001,220.0000000001,0,0,0,1,1,0,0,6.0828351588127605,4.398391988761375,0.6830968447569489,7.438171742913172,8.348301054933968,6.752328785650944,5.393627546352816
8,9,550.44581,3428.6900000001,164.44000000009999,1.0500000001,16753.960000000097,1061.0000000001,3037.3600000001,88.0000000001,0,0,0,0,0,0,0,8.139933543010143,5.102545762030286,0.04879016426467015,9.726389927221355,6.966967138614077,8.018743996051656,4.477336814479343
9,1,783.64464,1786.9900000001,271.77000000009997,0.8400000001,6802.4200000001,1200.0000000001,1837.0200000001,132.0000000001,1,0,1,1,0,0,0,7.488287919172926,5.604956120349674,-0.17435338702573017,8.82503371020605,7.090076835776175,7.51589997247219,4.882801922587128
10,3,455.97369,610.4300000001,81.8600000001,4.1000000001,1317.7600000001,3350.0000000001,1054.1500000001001,165.0000000001,1,0,1,1,1,0,0,6.4141636268622895,4.405010471065479,1.4109869737346523,7.183688604399446,8.116715624819141,6.960490033966098,5.105945473901187
11,3,526.08652,535.5400000001,208.67000000009998,1.4600000001,2621.1400000001,1479.0000000001,2376.5000000001,88.0000000001,1,0,1,0,0,0,0,6.283275583643627,5.340754056745772,0.3784364357887382,7.871364616624132,7.299121462710867,7.773384096054106,4.477336814479343
12,1,730.53759,4020.9400000001,569.4900000001,1.5700000001,8747.5300000001,1556.0000000001,1347.7300000001,77.0000000001,0,0,0,0,0,0,0,8.299270985124691,6.344741223470736,0.451075619423911,9.076526653787274,7.3498737047384015,7.206176974674351,4.343805421854983
